sim_id,gate,process,tempC,Vdd,Cload_fF,Rn_ohm,Rp_ohm,tau_f_s,tau_r_s,n_steps,dt_s
0,INV,FF,60,0.9,100,982.2222222222223,1473.3333333333335,9.822222222222223e-11,1.4733333333333334e-10,2000,1e-09
1,NOR2,TT,-40,1.1,100,731.8181818181816,1097.7272727272727,7.318181818181817e-11,1.0977272727272728e-10,2000,1e-09
2,INV,FF,85,0.9,10,1048.888888888889,1573.3333333333335,1.048888888888889e-11,1.573333333333334e-11,2000,1e-09
3,NOR2,TT,-40,1.0,300,804.9999999999999,1207.5,2.415e-10,3.6225e-10,2000,1e-09
4,NOR2,TT,-40,1.1,300,731.8181818181816,1097.7272727272727,2.195454545454545e-10,3.293181818181819e-10,2000,1e-09
5,NOR2,FF,60,0.9,300,982.2222222222223,1473.3333333333335,2.9466666666666673e-10,4.420000000000001e-10,2000,1e-09
6,NAND2,TT,-40,1.0,300,804.9999999999999,1207.5,2.415e-10,3.6225e-10,2000,1e-09
7,INV,SS,60,1.0,300,1381.25,2071.875,4.1437500000000003e-10,6.215625e-10,2000,1e-09
8,INV,SS,85,1.0,300,1475.0,2212.5,4.425000000000001e-10,6.637500000000001e-10,2000,1e-09
9,NAND2,SS,25,0.8,30,1562.5,2343.75,4.6875000000000006e-11,7.031250000000001e-11,2000,1e-09
10,INV,FF,85,0.9,300,1048.888888888889,1573.3333333333335,3.146666666666667e-10,4.720000000000001e-10,2000,1e-09
11,INV,FF,60,1.0,10,884.0,1326.0,8.840000000000002e-12,1.3260000000000003e-11,2000,1e-09
12,INV,TT,-40,1.0,300,804.9999999999999,1207.5,2.415e-10,3.6225e-10,2000,1e-09
13,INV,FF,-40,0.8,100,805.0,1207.4999999999998,8.05e-11,1.2074999999999997e-10,2000,1e-09
14,INV,SS,-40,1.1,100,914.7727272727271,1372.1590909090908,9.147727272727272e-11,1.372159090909091e-10,2000,1e-09
15,NAND2,SS,60,1.0,100,1381.25,2071.875,1.38125e-10,2.0718750000000001e-10,2000,1e-09
16,NAND2,FF,-40,0.9,30,715.5555555555555,1073.3333333333333,2.146666666666667e-11,3.22e-11,2000,1e-09
17,NAND2,FF,0,0.8,1000,925.0,1387.5,9.25e-10,1.3875e-09,2000,1e-09
18,NOR2,FF,0,1.1,10,672.7272727272727,1009.090909090909,6.727272727272729e-12,1.0090909090909092e-11,2000,1e-09
19,NAND2,SS,85,1.1,10,1340.9090909090908,2011.3636363636363,1.340909090909091e-11,2.0113636363636366e-11,2000,1e-09
20,INV,SS,0,0.8,10,1445.3125,2167.96875,1.4453125000000002e-11,2.1679687500000003e-11,2000,1e-09
21,NOR2,FF,85,0.8,300,1180.0,1770.0,3.54e-10,5.31e-10,2000,1e-09
22,NOR2,FF,25,0.8,100,1000.0,1500.0,1e-10,1.5e-10,2000,1e-09
23,NAND2,FF,-40,1.0,10,644.0,965.9999999999999,6.440000000000001e-12,9.66e-12,2000,1e-09
24,INV,TT,125,1.1,30,1181.8181818181818,1772.7272727272727,3.545454545454546e-11,5.318181818181819e-11,2000,1e-09
25,NAND2,FF,-40,0.9,100,715.5555555555555,1073.3333333333333,7.155555555555556e-11,1.0733333333333332e-10,2000,1e-09
26,NOR2,SS,0,0.8,1000,1445.3125,2167.96875,1.4453125e-09,2.16796875e-09,2000,1e-09
27,INV,SS,0,1.0,100,1156.25,1734.375,1.15625e-10,1.734375e-10,2000,1e-09
28,INV,FF,-40,0.8,100,805.0,1207.4999999999998,8.05e-11,1.2074999999999997e-10,2000,1e-09
29,NOR2,TT,85,1.0,300,1180.0,1770.0,3.54e-10,5.31e-10,2000,1e-09
30,NAND2,TT,-40,0.9,300,894.4444444444443,1341.6666666666667,2.6833333333333334e-10,4.0250000000000006e-10,2000,1e-09
31,INV,TT,60,1.1,1000,1004.5454545454545,1506.8181818181818,1.0045454545454545e-09,1.5068181818181818e-09,2000,1e-09
32,INV,FF,-40,0.8,100,805.0,1207.4999999999998,8.05e-11,1.2074999999999997e-10,2000,1e-09
33,NOR2,TT,-40,1.0,1000,804.9999999999999,1207.5,8.049999999999999e-10,1.2075e-09,2000,1e-09
34,NAND2,TT,0,0.8,10,1156.25,1734.375,1.1562500000000002e-11,1.734375e-11,2000,1e-09
35,NAND2,FF,-40,0.9,300,715.5555555555555,1073.3333333333333,2.1466666666666668e-10,3.22e-10,2000,1e-09
36,NOR2,SS,-40,1.1,100,914.7727272727271,1372.1590909090908,9.147727272727272e-11,1.372159090909091e-10,2000,1e-09
